problem,case_input1,case_input2,case_input3,case_input4,case_output1,case_output2,case_output3,case_output4
과제,"7
4 60
4 40
1 20
2 50
3 30
4 10
6 5",,,,185,,,
수 찾기,"5
4 1 5 2 3
5
1 3 7 9 5",,,,"1
1
0
0",,,
숫자 카드 1,"10
6 3 2 10 10 10 -10 -10 7 3
8
10 9 -5 2 3 4 5 -10",,,,3 0 0 1 2 0 0 2,,,
미친 로봇,"1
5
4 1 5 2 3
5
1 3 7 9 5",,,,"1
1
0
0
1",,,
암기왕,2 25 25 25 25,1 25 25 25 25,7 50 0 0 50,14 50 50 0 0,0.75,1,1,0.00012207
그룹 단어 체커,"3
happy
new
year","4
aba
abab
abcabc
a","5
ab
aa
aca
ba
bb","2
yzyzy
zyzyz",3,1,4,0
접미사 배열,baekjoon,,,,"aekjoon
baekjoon
ekjoon
joon
kjoon
n
on
oon",,,
날짜 계산,1 16 16,1 1 1,1 2 3,15 28 19,16,1,5266,7980
면의 개수 세기,"2
8 12
4 6","3 5
1 2 4
2 3 4 5 6",,,"6
4",4,,
대칭 차집합,"3 5
1 2 4
2 3 4 5 6",,,,4,,,
전자레인지,100,189,,,0 1 4,-1,,
주사위 게임,"4
5 6
6 6
4 3
5 2",,,,"94
91",,,
크냐?,"1 19
4 4
23 14
0 0",,,,"No
No
Yes",,,
영화감독 숌 문제,2,3,187,500,1666,2666,66666,166699
수들의 합,"4 2 
1 1 1 1 ","10 5 
1 2 3 4 2 5 3 1 1 2",,,3,3,,
평균은 넘겠지,15,446,,,20,500,,
최대 공약수와 최소 공배수 ,24 18 ,,,,"6
72",,,
나머지,1 2 3 4 5 6 7 8 9 10 ,42 84 252 420 840 126 42 84 420 126,39 40 41 42 43 44 82 83 84 85 ,,10,1,6,
